                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4219,                 3.8785,                 1.2173,                0.57121,                0.37421,                0.38923,                0.19103,                 1.4993,                 3.9574,                  1.218,             0.00058753,             0.00058753,             0.00058753
                      2,                 1.4223,                 3.8443,                 1.2186,                   0.57,                0.38038,                0.38644,                0.18802,                 1.5278,                  4.031,                 1.2315,             0.00056154,             0.00056154,             0.00056154
                      3,                 1.4661,                 4.1127,                  1.239,                0.57342,                0.39222,                0.39691,                0.19571,                 1.4748,                 3.9926,                 1.2034,             0.00056154,             0.00056154,             0.00056154
                      4,                 1.4596,                 4.0939,                 1.2337,                0.58762,                0.38154,                0.39453,                 0.1925,                 1.4922,                 3.9686,                 1.2116,             0.00053508,             0.00053508,             0.00053508
                      5,                 1.4471,                 4.0272,                 1.2283,                0.58864,                0.38062,                0.40319,                0.19966,                  1.484,                  3.888,                  1.209,             0.00050862,             0.00050862,             0.00050862
                      6,                 1.4433,                 4.0184,                  1.227,                0.62905,                0.38473,                0.41814,                0.20634,                 1.4488,                 3.8395,                 1.1956,             0.00048216,             0.00048216,             0.00048216
                      7,                 1.4369,                 3.9718,                 1.2221,                0.56577,                0.38616,                 0.4065,                0.20502,                 1.4485,                 3.8245,                 1.1902,              0.0004557,              0.0004557,              0.0004557
                      8,                 1.4282,                  3.895,                 1.2171,                0.61315,                0.38734,                 0.4215,                0.20729,                 1.4471,                 3.8025,                 1.1893,             0.00042924,             0.00042924,             0.00042924
                      9,                 1.4276,                 3.8791,                 1.2173,                0.59354,                0.40704,                0.42422,                0.21398,                 1.4396,                  3.755,                 1.1867,             0.00040278,             0.00040278,             0.00040278
                     10,                 1.4163,                 3.8181,                   1.21,                0.60758,                0.40425,                0.42867,                 0.2146,                 1.4402,                 3.7396,                 1.1926,             0.00037632,             0.00037632,             0.00037632
                     11,                 1.3795,                 3.5978,                 1.1836,                0.58455,                 0.4026,                 0.4244,                0.21081,                 1.4476,                 3.7679,                 1.1882,             0.00034986,             0.00034986,             0.00034986
                     12,                 1.3794,                 3.5841,                 1.1812,                0.61161,                0.40229,                0.43191,                0.21758,                 1.4191,                 3.7104,                 1.1764,              0.0003234,              0.0003234,              0.0003234
                     13,                  1.366,                 3.5222,                 1.1773,                0.62414,                0.39642,                0.42929,                0.21687,                 1.4163,                 3.7148,                 1.1791,             0.00029694,             0.00029694,             0.00029694
                     14,                 1.3586,                 3.4829,                 1.1741,                0.60843,                 0.4034,                0.43458,                0.22125,                 1.4113,                 3.6899,                 1.1739,             0.00027048,             0.00027048,             0.00027048
                     15,                 1.3533,                 3.4366,                 1.1692,                0.64804,                0.40702,                0.43611,                0.22149,                 1.4182,                 3.6408,                 1.1808,             0.00024402,             0.00024402,             0.00024402
                     16,                 1.3466,                 3.3926,                 1.1651,                0.63874,                0.40405,                0.43969,                0.22322,                 1.4226,                 3.6528,                 1.1803,             0.00021756,             0.00021756,             0.00021756
                     17,                 1.3387,                 3.3502,                 1.1632,                0.61054,                0.41646,                 0.4437,                 0.2263,                 1.4045,                 3.6239,                 1.1729,              0.0001911,              0.0001911,              0.0001911
                     18,                 1.3351,                  3.315,                 1.1597,                0.61974,                0.41798,                0.44643,                0.22777,                 1.3989,                 3.5903,                 1.1704,             0.00016464,             0.00016464,             0.00016464
                     19,                 1.3278,                 3.2816,                 1.1561,                0.61169,                0.42942,                0.44236,                0.22638,                 1.3862,                 3.5918,                 1.1671,             0.00013818,             0.00013818,             0.00013818
                     20,                 1.3225,                 3.2428,                 1.1532,                0.62258,                0.41697,                0.44411,                0.22675,                 1.3844,                 3.5742,                 1.1652,             0.00011172,             0.00011172,             0.00011172
