                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3069,                 1.0531,                 1.0268,                0.53721,                0.33176,                0.34554,                0.18989,                 1.2797,                0.78897,                0.99694,              0.0033317,              0.0033317,              0.0033317
                      2,                 1.3266,                0.89332,                 1.0306,                0.51718,                0.34103,                 0.3515,                0.18447,                 1.3101,                0.81049,                 1.0166,              0.0065825,              0.0065825,              0.0065825
                      3,                 1.3928,                0.95965,                 1.0583,                0.53952,                0.30202,                0.31674,                0.15989,                 1.3796,                0.88828,                 1.0495,              0.0097509,              0.0097509,              0.0097509
                      4,                 1.4283,                0.97685,                  1.075,                0.52196,                0.30013,                0.30904,                0.15944,                 1.3647,                0.86576,                 1.0459,              0.0096288,              0.0096288,              0.0096288
                      5,                 1.4141,                0.94556,                 1.0684,                0.51793,                0.30898,                0.33192,                 0.1693,                  1.356,                0.84732,                 1.0457,              0.0096288,              0.0096288,              0.0096288
                      6,                 1.3817,                0.90821,                  1.059,                  0.541,                0.31314,                0.33987,                0.17365,                 1.3404,                0.82159,                 1.0289,               0.009505,               0.009505,               0.009505
                      7,                 1.3693,                0.88644,                 1.0496,                0.54916,                0.32445,                 0.3482,                0.18007,                 1.3206,                0.80666,                 1.0318,              0.0093813,              0.0093813,              0.0093813
                      8,                 1.3499,                 0.8693,                 1.0443,                0.62198,                0.33797,                0.37308,                0.19532,                  1.311,                0.79418,                 1.0279,              0.0092575,              0.0092575,              0.0092575
                      9,                 1.3396,                0.85609,                 1.0405,                0.57029,                 0.3531,                 0.3745,                0.19302,                 1.3053,                0.78388,                 1.0231,              0.0091337,              0.0091337,              0.0091337
                     10,                  1.328,                0.84165,                 1.0354,                0.61602,                 0.3689,                0.37952,                0.19539,                 1.3015,                0.77828,                 1.0198,                0.00901,                0.00901,                0.00901
                     11,                 1.3187,                 0.8286,                 1.0324,                0.62261,                0.36536,                0.39271,                0.20334,                  1.287,                0.76752,                 1.0143,              0.0088863,              0.0088863,              0.0088863
                     12,                 1.3095,                0.81581,                 1.0265,                0.57084,                0.39075,                0.40415,                0.20992,                 1.2902,                0.76082,                 1.0131,              0.0087625,              0.0087625,              0.0087625
                     13,                 1.3034,                0.80656,                 1.0233,                0.58928,                0.39652,                0.40803,                0.21195,                 1.2769,                 0.7462,                 1.0158,              0.0086388,              0.0086388,              0.0086388
                     14,                 1.2919,                0.79581,                 1.0231,                0.58696,                0.39558,                 0.4077,                0.21194,                 1.2721,                0.74254,                 1.0134,               0.008515,               0.008515,               0.008515
                     15,                 1.2878,                 0.7904,                 1.0229,                0.60315,                0.39003,                0.41394,                0.21781,                 1.2673,                0.73773,                 1.0069,              0.0083913,              0.0083913,              0.0083913
                     16,                  1.279,                 0.7789,                 1.0145,                0.58935,                0.40145,                0.41751,                0.21931,                  1.268,                0.72776,                 1.0111,              0.0082675,              0.0082675,              0.0082675
                     17,                 1.2735,                0.77284,                 1.0162,                0.63221,                0.39891,                0.42494,                0.21901,                 1.2654,                0.72471,                 1.0062,              0.0081437,              0.0081437,              0.0081437
                     18,                 1.2623,                0.76094,                 1.0112,                0.62302,                0.41383,                0.43434,                 0.2246,                 1.2657,                 0.7189,                 1.0103,                0.00802,                0.00802,                0.00802
                     19,                 1.2646,                0.75915,                 1.0076,                0.63622,                0.38518,                0.42817,                0.22525,                 1.2521,                0.71439,                 1.0022,              0.0078963,              0.0078963,              0.0078963
