                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3527,                 1.0293,                 1.0615,                0.43572,                0.30542,                0.30556,                0.15322,                 1.3737,                0.88655,                 1.0606,              0.0001959,              0.0001959,              0.0001959
                      2,                 1.3927,                0.94903,                  1.084,                0.46103,                0.32202,                0.31457,                0.15752,                 1.3822,                0.88152,                 1.0646,             0.00038544,             0.00038544,             0.00038544
                      3,                 1.3896,                 0.9332,                 1.0788,                0.48883,                0.32438,                0.32806,                0.16712,                 1.3477,                0.84537,                 1.0511,              0.0005685,              0.0005685,              0.0005685
                      4,                 1.3684,                0.90621,                 1.0689,                0.59971,                0.33801,                0.34661,                0.17494,                 1.3383,                0.82354,                 1.0411,             0.00055889,             0.00055889,             0.00055889
                      5,                  1.354,                0.87736,                 1.0609,                0.61856,                0.34451,                0.36138,                0.18378,                 1.3202,                0.80328,                 1.0359,             0.00055889,             0.00055889,             0.00055889
                      6,                 1.3312,                 0.8536,                 1.0519,                0.62255,                0.36056,                0.36735,                0.18733,                 1.3004,                 0.7779,                 1.0326,             0.00054919,             0.00054919,             0.00054919
                      7,                 1.3149,                 0.8314,                 1.0454,                0.56768,                0.35813,                0.37752,                0.19407,                 1.2949,                0.77059,                 1.0246,             0.00053949,             0.00053949,             0.00053949
                      8,                 1.3005,                0.81689,                 1.0371,                0.61953,                0.37371,                0.39553,                 0.2049,                 1.2874,                0.75839,                 1.0195,             0.00052979,             0.00052979,             0.00052979
                      9,                 1.2932,                0.80749,                 1.0342,                0.59537,                0.38705,                0.39628,                0.20339,                 1.2849,                0.75102,                 1.0232,             0.00052009,             0.00052009,             0.00052009
                     10,                 1.2842,                0.79547,                 1.0306,                0.57529,                 0.3824,                0.40471,                0.20929,                  1.279,                0.74607,                 1.0221,             0.00051038,             0.00051038,             0.00051038
                     11,                 1.2744,                0.78109,                  1.028,                0.62488,                0.40554,                0.41832,                0.21593,                 1.2702,                0.73541,                 1.0169,             0.00050068,             0.00050068,             0.00050068
                     12,                 1.2678,                 0.7716,                 1.0231,                0.60311,                0.39488,                0.41465,                0.21423,                 1.2627,                0.73264,                 1.0153,             0.00049098,             0.00049098,             0.00049098
                     13,                 1.2601,                0.76387,                 1.0205,                0.59448,                0.40224,                0.42063,                0.22066,                 1.2678,                0.72871,                  1.016,             0.00048128,             0.00048128,             0.00048128
                     14,                 1.2577,                 0.7578,                  1.018,                0.60784,                 0.4142,                0.43172,                0.22508,                 1.2507,                0.72046,                 1.0106,             0.00047158,             0.00047158,             0.00047158
                     15,                 1.2473,                0.74519,                 1.0166,                0.62637,                0.41631,                0.43991,                 0.2267,                 1.2535,                0.71691,                 1.0067,             0.00046187,             0.00046187,             0.00046187
                     16,                 1.2416,                0.73829,                 1.0108,                0.64676,                0.41662,                0.44109,                0.23145,                 1.2531,                0.70546,                 1.0099,             0.00045217,             0.00045217,             0.00045217
                     17,                  1.236,                0.73689,                 1.0112,                0.66474,                0.39453,                0.44196,                0.23331,                 1.2479,                0.70612,                 1.0073,             0.00044247,             0.00044247,             0.00044247
                     18,                 1.2326,                0.72919,                 1.0048,                0.58716,                0.44381,                0.44589,                0.23635,                 1.2405,                0.70006,                 1.0023,             0.00043277,             0.00043277,             0.00043277
                     19,                 1.2257,                 0.7216,                 1.0079,                0.62455,                0.42229,                0.44808,                0.23733,                 1.2402,                0.69027,                 1.0034,             0.00042307,             0.00042307,             0.00042307
                     20,                 1.2167,                0.71643,                  1.001,                0.62287,                0.43059,                  0.456,                0.24199,                 1.2372,                0.69097,                 1.0055,             0.00041336,             0.00041336,             0.00041336
                     21,                 1.2194,                0.71031,                 1.0001,                0.61928,                0.42993,                0.45203,                0.24356,                 1.2366,                 0.6865,                 1.0017,             0.00040366,             0.00040366,             0.00040366
                     22,                  1.221,                0.71121,                 1.0018,                0.61064,                0.43203,                 0.4491,                0.23813,                 1.2381,                0.68841,                 1.0032,             0.00039396,             0.00039396,             0.00039396
                     23,                 1.2161,                0.70618,                 1.0017,                0.61146,                0.43904,                0.45839,                0.24127,                 1.2368,                0.68553,                 1.0061,             0.00038426,             0.00038426,             0.00038426
                     24,                 1.2074,                0.69536,                0.99753,                0.60253,                 0.4361,                0.45724,                0.24059,                  1.234,                0.68181,                 1.0038,             0.00037456,             0.00037456,             0.00037456
                     25,                 1.1985,                0.68894,                0.99759,                0.63987,                 0.4341,                0.46415,                0.24747,                 1.2288,                0.67952,                0.99853,             0.00036485,             0.00036485,             0.00036485
                     26,                  1.201,                0.68809,                0.99404,                0.62798,                0.44203,                0.46102,                 0.2473,                 1.2299,                0.67623,                  1.001,             0.00035515,             0.00035515,             0.00035515
                     27,                 1.1931,                0.68081,                0.99035,                0.66313,                0.42655,                 0.4637,                0.24822,                 1.2266,                0.67141,                0.99559,             0.00034545,             0.00034545,             0.00034545
                     28,                 1.1906,                0.67941,                0.98575,                0.66264,                0.43692,                 0.4618,                0.24928,                 1.2238,                0.67071,                0.99475,             0.00033575,             0.00033575,             0.00033575
                     29,                  1.189,                0.67549,                  0.986,                 0.6529,                0.43965,                0.46852,                  0.252,                 1.2254,                0.67095,                0.99552,             0.00032605,             0.00032605,             0.00032605
                     30,                 1.1805,                0.66605,                0.98256,                0.64689,                0.43683,                0.47068,                0.25138,                  1.225,                0.66591,                0.99524,             0.00031634,             0.00031634,             0.00031634
                     31,                 1.1776,                0.66048,                 0.9811,                0.65582,                0.43311,                0.46711,                0.24904,                 1.2218,                0.66339,                0.99375,             0.00030664,             0.00030664,             0.00030664
                     32,                 1.1693,                0.65727,                0.97878,                0.63153,                0.44689,                0.47079,                0.25203,                 1.2223,                0.66102,                0.99553,             0.00029694,             0.00029694,             0.00029694
                     33,                 1.1703,                0.65069,                0.97969,                0.63855,                0.44629,                0.46904,                0.25268,                 1.2254,                0.66021,                0.99833,             0.00028724,             0.00028724,             0.00028724
                     34,                 1.1711,                0.65234,                 0.9811,                0.63168,                0.44655,                0.46472,                0.24858,                 1.2207,                 0.6627,                0.99415,             0.00027754,             0.00027754,             0.00027754
                     35,                 1.1663,                0.64706,                0.97771,                0.64346,                0.45191,                0.47332,                0.25264,                 1.2193,                 0.6582,                0.99259,             0.00026783,             0.00026783,             0.00026783
                     36,                 1.1604,                0.63613,                0.97147,                0.65055,                0.44677,                0.47449,                0.25328,                 1.2235,                0.65832,                0.99185,             0.00025813,             0.00025813,             0.00025813
                     37,                  1.158,                 0.6354,                0.97102,                0.65304,                0.44074,                0.47331,                 0.2538,                 1.2224,                 0.6576,                0.99249,             0.00024843,             0.00024843,             0.00024843
                     38,                 1.1487,                0.62818,                0.97114,                0.65535,                 0.4488,                0.47893,                0.25439,                 1.2202,                0.65522,                0.99358,             0.00023873,             0.00023873,             0.00023873
                     39,                 1.1518,                0.62778,                 0.9705,                0.65369,                0.44648,                 0.4814,                0.25664,                 1.2199,                0.65552,                 0.9947,             0.00022903,             0.00022903,             0.00022903
                     40,                 1.1478,                0.61992,                 0.9687,                0.65133,                0.44419,                0.47935,                 0.2556,                 1.2205,                  0.657,                0.99333,             0.00021932,             0.00021932,             0.00021932
                     41,                 1.1462,                0.61508,                0.96504,                0.63699,                0.45005,                0.47807,                0.25633,                 1.2201,                0.65422,                0.99354,             0.00020962,             0.00020962,             0.00020962
                     42,                 1.1407,                0.61183,                0.96601,                0.64654,                0.45283,                0.47817,                0.25478,                 1.2181,                0.65518,                0.99534,             0.00019992,             0.00019992,             0.00019992
                     43,                 1.1365,                0.61015,                0.96433,                0.64846,                0.45079,                0.48159,                0.25901,                   1.22,                0.65408,                0.99335,             0.00019022,             0.00019022,             0.00019022
                     44,                 1.1324,                0.60289,                0.96241,                0.63467,                0.45714,                0.48295,                0.25927,                  1.221,                0.65316,                0.99637,             0.00018052,             0.00018052,             0.00018052
                     45,                 1.1266,                0.59877,                 0.9599,                0.63967,                0.46456,                0.48534,                0.25916,                 1.2194,                0.65258,                0.99448,             0.00017081,             0.00017081,             0.00017081
                     46,                 1.1217,                0.59103,                0.95811,                0.65172,                  0.445,                0.48082,                0.25751,                  1.219,                0.65173,                0.99465,             0.00016111,             0.00016111,             0.00016111
                     47,                 1.1191,                0.58782,                0.95591,                0.62132,                0.46967,                0.48201,                0.25889,                 1.2203,                0.65354,                0.99322,             0.00015141,             0.00015141,             0.00015141
                     48,                 1.1154,                0.58677,                0.95523,                0.62019,                0.46214,                 0.4851,                0.25727,                 1.2207,                0.65496,                 0.9962,             0.00014171,             0.00014171,             0.00014171
                     49,                 1.1124,                0.57807,                0.95329,                0.55204,                0.47666,                0.48409,                0.25795,                 1.2217,                0.65411,                0.99769,             0.00013201,             0.00013201,             0.00013201
                     50,                  1.108,                0.57642,                0.95213,                0.60739,                 0.4711,                0.48363,                0.25945,                 1.2212,                0.65522,                0.99904,              0.0001223,              0.0001223,              0.0001223
                     51,                 1.1494,                0.57971,                0.95815,                0.65454,                0.44556,                0.48106,                0.25537,                 1.2234,                0.65499,                0.99984,              0.0001126,              0.0001126,              0.0001126
                     52,                 1.1436,                0.57165,                0.95633,                0.64738,                0.44215,                0.47883,                 0.2551,                 1.2256,                0.65837,                 1.0005,              0.0001029,              0.0001029,              0.0001029
                     53,                 1.1395,                0.56628,                0.95331,                0.65984,                0.44941,                0.48179,                0.25609,                 1.2256,                0.66009,                0.99969,             9.3198e-05,             9.3198e-05,             9.3198e-05
                     54,                  1.135,                0.56358,                0.95026,                0.65057,                0.44501,                 0.4832,                0.25821,                 1.2249,                0.65846,                0.99834,             8.3496e-05,             8.3496e-05,             8.3496e-05
                     55,                 1.1319,                 0.5593,                0.94893,                0.63671,                0.45467,                0.48353,                0.25821,                 1.2245,                0.65782,                0.99853,             7.3794e-05,             7.3794e-05,             7.3794e-05
                     56,                 1.1313,                0.55589,                0.94885,                0.65074,                0.44898,                0.48451,                0.25902,                 1.2238,                0.65692,                0.99799,             6.4092e-05,             6.4092e-05,             6.4092e-05
                     57,                 1.1265,                0.55355,                0.94754,                0.63612,                0.45878,                0.48658,                0.25869,                 1.2257,                0.65904,                0.99849,              5.439e-05,              5.439e-05,              5.439e-05
                     58,                 1.1228,                0.54937,                0.94518,                0.63199,                0.45526,                0.48585,                0.25803,                  1.228,                0.65897,                0.99903,             4.4688e-05,             4.4688e-05,             4.4688e-05
