                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5877,                 4.7852,                 1.1862,                0.50056,                 0.2593,                0.26197,                  0.116,                 1.6611,                 4.1978,                 1.1686,             0.00058765,             0.00058765,             0.00058765
                      2,                 1.5778,                 4.3172,                 1.1839,                0.46106,                0.27796,                0.28725,                0.13273,                 1.5073,                 3.7873,                 1.1103,             0.00056154,             0.00056154,             0.00056154
                      3,                 1.5234,                 4.0244,                 1.1584,                0.43884,                0.30596,                0.31321,                0.14238,                 1.5542,                 3.7152,                 1.1152,             0.00056154,             0.00056154,             0.00056154
                      4,                 1.4707,                 3.7937,                 1.1314,                0.49754,                0.33826,                0.34394,                0.16753,                 1.4682,                 3.4284,                 1.0898,             0.00053508,             0.00053508,             0.00053508
                      5,                 1.4513,                  3.677,                 1.1221,                0.54088,                0.34721,                 0.3632,                0.17495,                 1.4516,                 3.3694,                 1.0792,             0.00050862,             0.00050862,             0.00050862
                      6,                 1.4309,                 3.5776,                 1.1131,                0.56096,                0.37509,                0.38195,                0.18709,                 1.3846,                  3.273,                 1.0589,             0.00048216,             0.00048216,             0.00048216
                      7,                   1.41,                 3.4883,                 1.1009,                0.52853,                0.37567,                0.38113,                0.18414,                  1.436,                 3.2522,                 1.0722,              0.0004557,              0.0004557,              0.0004557
                      8,                 1.3907,                 3.4037,                  1.094,                0.55144,                0.38867,                0.40254,                0.20347,                 1.3472,                 3.1502,                 1.0443,             0.00042924,             0.00042924,             0.00042924
                      9,                 1.3702,                  3.331,                 1.0869,                0.55553,                0.38739,                0.39325,                0.19811,                 1.3745,                 3.0994,                 1.0451,             0.00040278,             0.00040278,             0.00040278
                     10,                 1.3621,                 3.2715,                 1.0795,                0.59362,                0.39044,                0.40647,                0.20593,                 1.3446,                 3.0452,                 1.0422,             0.00037632,             0.00037632,             0.00037632
                     11,                 1.3206,                 3.0699,                 1.0545,                0.60869,                0.38519,                 0.4153,                0.21135,                 1.3312,                  3.025,                  1.033,             0.00034986,             0.00034986,             0.00034986
                     12,                 1.3068,                 3.0121,                 1.0482,                0.60322,                 0.4094,                0.42982,                  0.217,                 1.3357,                 2.9809,                 1.0357,              0.0003234,              0.0003234,              0.0003234
                     13,                 1.3002,                 2.9604,                 1.0421,                0.60607,                0.40521,                0.42989,                0.21471,                 1.3648,                 2.9914,                 1.0418,             0.00029694,             0.00029694,             0.00029694
                     14,                  1.294,                 2.9235,                 1.0386,                0.61694,                0.41658,                0.43093,                0.21758,                 1.3456,                 2.9543,                 1.0339,             0.00027048,             0.00027048,             0.00027048
                     15,                 1.2829,                 2.8639,                  1.035,                 0.6473,                0.40193,                 0.4368,                0.22104,                 1.3108,                  2.915,                 1.0253,             0.00024402,             0.00024402,             0.00024402
                     16,                 1.2732,                 2.8216,                 1.0316,                0.61909,                0.42994,                0.44881,                 0.2278,                 1.3272,                 2.9002,                 1.0289,             0.00021756,             0.00021756,             0.00021756
                     17,                 1.2621,                 2.7494,                 1.0241,                0.61847,                 0.4203,                0.44925,                0.22657,                 1.3457,                 2.8853,                 1.0352,              0.0001911,              0.0001911,              0.0001911
                     18,                 1.2539,                 2.7208,                 1.0183,                0.63199,                 0.4255,                 0.4539,                0.23235,                 1.2931,                 2.8442,                 1.0157,             0.00016464,             0.00016464,             0.00016464
                     19,                 1.2452,                 2.6782,                 1.0156,                0.63095,                0.45023,                0.46546,                0.23907,                 1.2913,                 2.8133,                 1.0189,             0.00013818,             0.00013818,             0.00013818
                     20,                 1.2362,                 2.6244,                 1.0125,                0.62181,                0.44188,                0.46268,                0.23558,                 1.3101,                 2.8342,                 1.0228,             0.00011172,             0.00011172,             0.00011172
