                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4177,                 1.1762,                 1.1026,                0.41934,                0.29195,                0.29382,                0.15906,                 1.3841,                0.93404,                 1.0561,             0.00019588,             0.00019588,             0.00019588
                      2,                 1.4228,                 1.0187,                 1.1001,                 0.4193,                0.30074,                0.30503,                0.16214,                 1.3903,                0.92379,                 1.0583,             0.00037248,             0.00037248,             0.00037248
                      3,                 1.4151,                 1.0004,                 1.0939,                0.49646,                0.31437,                0.31793,                0.17125,                 1.3804,                0.90478,                 1.0496,             0.00052968,             0.00052968,             0.00052968
                      4,                 1.4102,                0.98439,                   1.09,                0.58558,                0.30824,                0.31925,                0.17159,                 1.3733,                0.89904,                 1.0466,             0.00050068,             0.00050068,             0.00050068
                      5,                 1.4046,                0.97473,                 1.0856,                0.60209,                0.32306,                0.33221,                0.17598,                 1.3732,                0.88194,                 1.0456,             0.00050068,             0.00050068,             0.00050068
                      6,                 1.3965,                0.95465,                 1.0814,                0.61194,                0.31355,                0.33183,                0.17789,                 1.3604,                0.87816,                 1.0423,             0.00047158,             0.00047158,             0.00047158
                      7,                 1.3958,                0.95593,                  1.079,                0.59009,                0.33202,                0.33917,                0.17822,                 1.3571,                0.86768,                 1.0422,             0.00044247,             0.00044247,             0.00044247
                      8,                 1.3878,                0.94797,                 1.0782,                0.61825,                0.31776,                0.34267,                0.18064,                 1.3594,                0.85859,                  1.041,             0.00041336,             0.00041336,             0.00041336
                      9,                 1.3839,                0.93699,                 1.0759,                0.59577,                0.32664,                0.34259,                 0.1836,                 1.3555,                0.86071,                  1.036,             0.00038426,             0.00038426,             0.00038426
                     10,                 1.3825,                0.93326,                 1.0729,                0.64073,                0.32615,                0.34899,                0.18619,                 1.3508,                0.85512,                 1.0372,             0.00035515,             0.00035515,             0.00035515
                     11,                 1.4257,                0.93457,                 1.0746,                0.59951,                0.33319,                0.34651,                0.18517,                 1.3684,                0.86746,                 1.0366,             0.00032605,             0.00032605,             0.00032605
                     12,                  1.423,                0.92857,                 1.0726,                0.55326,                0.32242,                0.34754,                0.18389,                 1.3633,                0.86089,                 1.0333,             0.00029694,             0.00029694,             0.00029694
                     13,                 1.4134,                0.91744,                 1.0688,                0.52077,                0.33918,                0.34717,                0.18482,                 1.3639,                0.86034,                 1.0333,             0.00026783,             0.00026783,             0.00026783
                     14,                 1.4132,                0.91667,                 1.0698,                0.58614,                0.32456,                0.35108,                0.18805,                 1.3607,                0.85519,                 1.0326,             0.00023873,             0.00023873,             0.00023873
                     15,                 1.4112,                0.91111,                 1.0663,                0.61374,                0.32884,                0.35317,                0.18975,                 1.3585,                 0.8544,                 1.0298,             0.00020962,             0.00020962,             0.00020962
                     16,                 1.4073,                0.90139,                 1.0637,                0.61778,                0.32513,                0.34813,                0.18664,                 1.3556,                0.85219,                 1.0285,             0.00018052,             0.00018052,             0.00018052
                     17,                  1.403,                0.89585,                  1.063,                0.58496,                 0.3289,                0.35334,                0.18704,                  1.356,                0.84642,                 1.0292,             0.00015141,             0.00015141,             0.00015141
                     18,                  1.403,                0.89527,                 1.0618,                0.57749,                0.33119,                0.35174,                0.18818,                 1.3539,                 0.8462,                 1.0271,              0.0001223,              0.0001223,              0.0001223
                     19,                 1.3992,                0.88946,                 1.0603,                0.59325,                0.33398,                0.35242,                0.18807,                 1.3533,                0.84252,                 1.0266,             9.3198e-05,             9.3198e-05,             9.3198e-05
                     20,                  1.397,                0.88601,                 1.0592,                0.58099,                0.33273,                0.35378,                0.18877,                 1.3532,                0.84013,                 1.0263,             6.4092e-05,             6.4092e-05,             6.4092e-05
