                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4391,                0.94238,                 1.0769,                0.56091,                0.33349,                0.34787,                0.17885,                 1.3775,                0.87732,                 1.0495,             0.00019592,             0.00019592,             0.00019592
                      2,                 1.4459,                0.94537,                 1.0782,                0.60958,                0.33261,                0.34774,                 0.1745,                 1.3772,                0.86794,                 1.0487,             0.00037252,             0.00037252,             0.00037252
                      3,                 1.4401,                0.92735,                 1.0757,                 0.6206,                0.33163,                0.35358,                0.18022,                 1.3796,                0.86128,                 1.0486,             0.00052972,             0.00052972,             0.00052972
                      4,                 1.4247,                0.91365,                 1.0687,                0.54421,                0.35095,                0.37223,                 0.1919,                 1.3538,                0.84155,                 1.0387,             0.00050068,             0.00050068,             0.00050068
                      5,                 1.4089,                0.89117,                 1.0626,                 0.6363,                0.34498,                0.37354,                0.19106,                  1.354,                0.83192,                 1.0358,             0.00050068,             0.00050068,             0.00050068
                      6,                  1.394,                0.87305,                 1.0557,                0.61408,                0.35222,                0.38019,                0.19751,                 1.3342,                0.81731,                 1.0289,             0.00047158,             0.00047158,             0.00047158
                      7,                 1.3792,                0.85719,                 1.0456,                0.55187,                0.37156,                0.37954,                0.19636,                 1.3223,                0.79989,                 1.0257,             0.00044247,             0.00044247,             0.00044247
                      8,                 1.3686,                0.84207,                 1.0416,                0.57624,                0.36654,                0.39075,                0.20605,                 1.3212,                0.79403,                  1.022,             0.00041336,             0.00041336,             0.00041336
                      9,                 1.3613,                0.83343,                 1.0375,                0.60291,                 0.3645,                0.39623,                 0.2069,                 1.3149,                0.78734,                 1.0164,             0.00038426,             0.00038426,             0.00038426
                     10,                 1.3522,                0.82434,                 1.0336,                 0.6126,                0.36478,                0.40013,                0.20902,                 1.3069,                0.77767,                 1.0194,             0.00035515,             0.00035515,             0.00035515
                     11,                 1.3457,                0.81389,                  1.032,                0.62306,                0.36205,                0.40447,                0.21323,                 1.3031,                0.76428,                 1.0156,             0.00032605,             0.00032605,             0.00032605
                     12,                 1.3364,                 0.8041,                 1.0281,                 0.5957,                0.38305,                 0.4125,                0.21614,                 1.3028,                0.76257,                 1.0168,             0.00029694,             0.00029694,             0.00029694
                     13,                 1.3282,                0.79509,                 1.0243,                0.61885,                0.39105,                0.41578,                0.21643,                 1.2949,                0.75874,                  1.011,             0.00026783,             0.00026783,             0.00026783
                     14,                 1.3225,                0.78984,                 1.0232,                    0.6,                0.38741,                0.41509,                0.21709,                 1.2902,                0.75012,                   1.01,             0.00023873,             0.00023873,             0.00023873
                     15,                 1.3166,                0.77729,                 1.0178,                0.61788,                0.39164,                0.41403,                 0.2188,                 1.2852,                0.74725,                 1.0076,             0.00020962,             0.00020962,             0.00020962
                     16,                 1.3132,                0.77079,                  1.018,                0.62733,                0.38939,                0.42063,                0.22349,                 1.2833,                0.74193,                 1.0056,             0.00018052,             0.00018052,             0.00018052
                     17,                 1.3054,                0.76376,                 1.0126,                0.62447,                 0.3835,                0.42042,                0.22063,                 1.2833,                0.73799,                 1.0055,             0.00015141,             0.00015141,             0.00015141
                     18,                 1.2981,                0.75573,                 1.0117,                0.62119,                0.38744,                0.42122,                0.22221,                 1.2794,                0.73475,                  1.005,              0.0001223,              0.0001223,              0.0001223
                     19,                 1.2938,                0.74968,                 1.0083,                0.61841,                0.38755,                0.41874,                0.22443,                 1.2742,                0.72816,                  1.004,             9.3198e-05,             9.3198e-05,             9.3198e-05
                     20,                 1.2899,                0.74414,                 1.0093,                0.62578,                0.38678,                0.42336,                0.22505,                 1.2743,                0.72503,                 1.0041,             6.4092e-05,             6.4092e-05,             6.4092e-05
